Unnamed: 0,state_code,latitude,longitude,zip_code,id,city,Unnamed: 6,name,labels,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,state_code.1,is_CA,is_NY,is_MA,is_TX,is_otherstate,category_code,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,object_id,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
1001,CA,32.901049,-117.192656,92121,c:65620,San Diego,San Diego CA 92121,Plixi,1,3/18/2009,,3/30/2010,3/30/2010,1.0329,1.0329,1.4575,2.2055,5,1,2600000,2,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:65620,0,0,1,0,0,0,4.0,1,acquired
738,CA,37.320309,-122.05004,95014,c:42668,Cupertino,Cupertino CA 95014,Solidcore Systems,1,1/1/2002,,2/17/2005,4/25/2007,3.1315,5.3151,6.0027,6.0027,5,3,40000000,1,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:42668,0,0,0,1,1,1,3.3333,1,acquired
195,CA,37.3915589,-122.0702643,94041,c:16191,Mountain View,,RingCube Technologies,1,1/1/2005,,9/21/2006,3/18/2010,1.7205,5.211,3.0,6.6082,6,3,26000000,2,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:16191,1,0,1,1,0,0,1.6667,1,acquired
846,CA,37.427235,-122.145783,94306,c:498,Palo Alto,,Doostang,1,6/1/2005,,2/1/2007,2/5/2010,1.6712,4.6849,2.9178,6.1151,14,3,5750000,4,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:498,1,1,1,0,0,0,1.0,1,acquired
685,CA,37.4429885,-122.1624131,94025,c:3949,Menlo Park,,Zong,1,11/15/2000,,7/1/2005,4/26/2010,4.6274,9.4493,10.1342,10.6493,22,3,27500000,3,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:3949,0,0,1,1,0,0,1.0,1,acquired
835,CA,37.452992,-122.185098,94025,c:4829,Menlo Park,,Center'd,0,1/1/2006,12/2/2011,2/1/2007,5/3/2011,1.0849,5.3370000000000015,-0.6164,4.6082,8,5,10400000,2,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:4829,1,1,1,0,0,0,1.75,1,closed
858,NY,40.730646,-73.986614,10004,c:50727,New York,New York NY 10004,SinglePlatform,1,1/1/2010,,9/29/2010,8/1/2011,0.7425,1.5808,1.2849,3.0027,10,3,4575000,3,NY,0,1,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:50727,0,1,1,0,0,0,5.0,1,acquired
177,CA,37.426316,-122.141082,94306,c:15888,Palo Alto,,Neopolitan Networks,0,1/1/2002,7/25/2008,6/28/2007,6/28/2007,5.4904,5.4904,0.0,0.0,1,1,3170000,1,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:15888,0,0,1,0,0,0,2.0,0,closed
26,CA,37.764395,-122.401024,94103,c:10751,San Francisco,,Pixelpipe,0,1/1/2008,8/2/2013,1/1/2007,4/25/2011,-1.0,3.3151,3.6959,5.6629999999999985,4,2,2300000,3,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:10751,0,1,1,0,0,0,2.0,0,closed
145,CA,37.779281,-122.419236,94105,c:150658,San Francisco,San Francisco CA 94105,Karma,1,1/1/2011,,1/1/2011,11/14/2011,0.0,0.8685,0.4137,2.1671,3,2,2304999,2,CA,1,0,0,0,0,mobile,0,0,1,0,0,0,0,0,0,0,c:150658,1,0,0,0,0,0,5.0,1,acquired
785,NY,40.73901,-73.997259,10011,c:45111,New York,New York NY 10011,Entertainment Media Works,0,7/1/2004,10/1/2008,2/26/2007,2/26/2007,2.6575,2.6575,0.0,0.0,1,1,4000000,1,NY,0,1,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:45111,0,0,0,1,0,0,1.0,1,closed
562,CA,37.791137,-122.391843,94111,c:3178,San Francisco,,Elastra,0,1/1/2007,1/28/2011,8/15/2007,8/5/2008,0.6192,1.5945,1.0,4.3315,8,2,14600000,3,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:3178,0,0,1,1,0,0,2.0,1,closed
207,CA,37.36883,-122.03635,94085,c:16303,Sunnyvale,Sunnyvale CA 94085,NetDevices,1,1/1/2003,,8/16/2005,8/16/2005,2.6247,2.6247,,,4,1,25000000,0,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:16303,0,0,0,1,0,0,5.0,1,acquired
1010,CA,37.779281,-122.419236,94607,c:68157,San Francisco,San Francisco CA 94607,Appstores.com,1,5/24/2010,,8/1/2010,8/1/2011,0.189,1.189,1.3562,1.6575,6,2,1155000,2,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:68157,0,1,0,0,0,0,9.5,1,acquired
403,CA,37.560781,-122.284114,94404,c:2395,San Mateo,,Fortify Software,1,10/1/2002,,12/15/2005,12/15/2005,3.2082,3.2082,5.2548,7.8822,11,1,10000000,2,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:2395,0,0,0,0,0,1,2.0,1,acquired
666,CA,37.658313,-122.391032,94080,c:38220,South San Francisco,South San Francisco CA 94080,iCurrent,1,1/1/2006,,8/1/2008,8/1/2008,2.5836,2.5836,2.0,2.0,5,1,3000000,1,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:38220,0,0,1,0,0,0,1.0,1,acquired
768,CA,37.441537,-122.158332,94301,c:43948,Palo Alto,Palo Alto CA 94301,Transparency Software,0,1/1/2004,1/1/2009,3/9/2005,7/1/2007,1.1863,3.4986,,,0,2,12050000,0,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:43948,1,0,1,0,0,0,2.0,1,closed
445,CA,37.402773,-122.052551,94089,c:25827,Sunnyvale,,Virsto Software,1,7/1/2007,,6/26/2009,8/25/2011,1.989,4.1534,2.8986,5.2575,10,3,24000000,4,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:25827,0,0,1,1,0,0,3.3333,1,acquired
20,CA,37.7870923,-122.3999719,94105,c:10581,San Francisco,,Lolapps,1,1/1/2008,,9/5/2008,9/5/2008,0.6795,0.6795,2.9178,4.2274,15,1,4000000,3,CA,1,0,0,0,0,web,0,1,0,0,0,0,0,0,0,0,c:10581,0,0,1,0,0,0,3.0,1,acquired
315,CA,37.3492097,-122.0326019,94087,c:190214,Sunnyvale,,Behavio,1,6/12/2012,,6/1/2012,6/1/2012,-0.0301,-0.0301,0.13699999999999998,0.13699999999999998,3,1,355000,1,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:190214,0,1,0,0,0,0,1.0,0,acquired
810,CA,37.54827,-121.988572,94538,c:46186,Fremont,Fremont CA 94538,Mendocino Software,0,1/1/2003,2/7/2008,9/12/2005,1/1/2007,2.6986,4.0027,1.0,1.0,2,2,19700000,1,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:46186,1,0,0,1,0,0,4.0,1,closed
744,CA,37.354469,-121.990433,95051,c:43162,Santa Clara,Santa Clara CA 95051,QuikCycle,0,1/1/1998,1/1/2011,3/1/2007,3/12/2007,9.1671,9.1973,,,0,2,17800000,0,CA,1,0,0,0,0,software,1,0,0,0,0,0,0,0,0,0,c:43162,1,0,0,0,0,0,1.0,1,closed
